Country,Clicks,Impressions,CTR,Position
United States,59,2498,2.36%,15.28
India,1,10,10%,43.1
United Kingdom,0,14,0%,29.57
Canada,0,10,0%,6.8
Brazil,0,9,0%,14.89
Pakistan,0,5,0%,4.6
Puerto Rico,0,3,0%,1.67
Philippines,0,3,0%,5
Japan,0,3,0%,7.67
Spain,0,3,0%,14
Argentina,0,3,0%,15.33
South Korea,0,3,0%,18.67
Vietnam,0,3,0%,21.33
Thailand,0,3,0%,31.67
Peru,0,2,0%,5
Indonesia,0,2,0%,6
Ireland,0,2,0%,8
Nigeria,0,2,0%,11
Chile,0,2,0%,16.5
Egypt,0,2,0%,18.5
New Zealand,0,2,0%,26.5
Australia,0,2,0%,30.5
Nicaragua,0,1,0%,1
Bangladesh,0,1,0%,2
Uruguay,0,1,0%,2
Iraq,0,1,0%,4
Turkey,0,1,0%,7
China,0,1,0%,9
Kuwait,0,1,0%,10
Saudi Arabia,0,1,0%,10
South Africa,0,1,0%,10
Paraguay,0,1,0%,11
Romania,0,1,0%,11
Ukraine,0,1,0%,11
Italy,0,1,0%,12
Cambodia,0,1,0%,12
Costa Rica,0,1,0%,20
France,0,1,0%,21
Mexico,0,1,0%,23
Panama,0,1,0%,32
Kenya,0,1,0%,34
Singapore,0,1,0%,34
